ObjectName,v1x,v1y,v1z,v2x,v2y,v2z,v3x,v3y,v3z
Floor_B,1060.0160,105.0000,2471.5270,1060.0160,55.0000,2471.5270,1060.0160,55.0000,871.5272
Floor_B,1060.0160,105.0000,2471.5270,1060.0160,55.0000,871.5272,1060.0160,105.0000,871.5272
Floor_B,1060.0160,105.0000,871.5272,1060.0160,55.0000,871.5272,-539.9841,55.0000,871.5272
Floor_B,1060.0160,105.0000,871.5272,-539.9841,55.0000,871.5272,-539.9841,105.0000,871.5272
Floor_B,-539.9841,105.0000,871.5272,-539.9841,55.0000,871.5272,-539.9841,55.0000,2471.5270
Floor_B,-539.9841,105.0000,871.5272,-539.9841,55.0000,2471.5270,-539.9841,105.0000,2471.5270
Floor_B,-539.9841,105.0000,2471.5270,-539.9841,55.0000,2471.5270,1060.0160,55.0000,2471.5270
Floor_B,-539.9841,105.0000,2471.5270,1060.0160,55.0000,2471.5270,1060.0160,105.0000,2471.5270
Floor_B,1060.0160,55.0000,2471.5270,-539.9841,55.0000,2471.5270,-539.9841,55.0000,871.5272
Floor_B,1060.0160,55.0000,2471.5270,-539.9841,55.0000,871.5272,1060.0160,55.0000,871.5272
Floor_B,-539.9841,105.0000,2471.5270,1060.0160,105.0000,2471.5270,1060.0160,105.0000,871.5272
Floor_B,-539.9841,105.0000,2471.5270,1060.0160,105.0000,871.5272,-539.9841,105.0000,871.5272
Floor_B,1060.0160,105.0000,4044.8760,1060.0160,55.0000,4044.8760,1060.0160,55.0000,2444.8760
Floor_B,1060.0160,105.0000,4044.8760,1060.0160,55.0000,2444.8760,1060.0160,105.0000,2444.8760
Floor_B,1060.0160,105.0000,2444.8760,1060.0160,55.0000,2444.8760,-539.9841,55.0000,2444.8760
Floor_B,1060.0160,105.0000,2444.8760,-539.9841,55.0000,2444.8760,-539.9841,105.0000,2444.8760
Floor_B,-539.9841,105.0000,2444.8760,-539.9841,55.0000,2444.8760,-539.9841,55.0000,4044.8760
Floor_B,-539.9841,105.0000,2444.8760,-539.9841,55.0000,4044.8760,-539.9841,105.0000,4044.8760
Floor_B,-539.9841,105.0000,4044.8760,-539.9841,55.0000,4044.8760,1060.0160,55.0000,4044.8760
Floor_B,-539.9841,105.0000,4044.8760,1060.0160,55.0000,4044.8760,1060.0160,105.0000,4044.8760
Floor_B,1060.0160,55.0000,4044.8760,-539.9841,55.0000,4044.8760,-539.9841,55.0000,2444.8760
Floor_B,1060.0160,55.0000,4044.8760,-539.9841,55.0000,2444.8760,1060.0160,55.0000,2444.8760
Floor_B,-539.9841,105.0000,4044.8760,1060.0160,105.0000,4044.8760,1060.0160,105.0000,2444.8760
Floor_B,-539.9841,105.0000,4044.8760,1060.0160,105.0000,2444.8760,-539.9841,105.0000,2444.8760
Floor_B,2642.8040,105.0000,2471.5270,2642.8040,55.0000,2471.5270,2642.8040,55.0000,871.5272
Floor_B,2642.8040,105.0000,2471.5270,2642.8040,55.0000,871.5272,2642.8040,105.0000,871.5272
Floor_B,2642.8040,105.0000,871.5272,2642.8040,55.0000,871.5272,1042.8040,55.0000,871.5272
Floor_B,2642.8040,105.0000,871.5272,1042.8040,55.0000,871.5272,1042.8040,105.0000,871.5272
Floor_B,1042.8040,105.0000,871.5272,1042.8040,55.0000,871.5272,1042.8040,55.0000,2471.5270
Floor_B,1042.8040,105.0000,871.5272,1042.8040,55.0000,2471.5270,1042.8040,105.0000,2471.5270
Floor_B,1042.8040,105.0000,2471.5270,1042.8040,55.0000,2471.5270,2642.8040,55.0000,2471.5270
Floor_B,1042.8040,105.0000,2471.5270,2642.8040,55.0000,2471.5270,2642.8040,105.0000,2471.5270
Floor_B,2642.8040,55.0000,2471.5270,1042.8040,55.0000,2471.5270,1042.8040,55.0000,871.5272
Floor_B,2642.8040,55.0000,2471.5270,1042.8040,55.0000,871.5272,2642.8040,55.0000,871.5272
Floor_B,1042.8040,105.0000,2471.5270,2642.8040,105.0000,2471.5270,2642.8040,105.0000,871.5272
Floor_B,1042.8040,105.0000,2471.5270,2642.8040,105.0000,871.5272,1042.8040,105.0000,871.5272
Floor_B,2642.8040,105.0000,4044.8760,2642.8040,55.0000,4044.8760,2642.8040,55.0000,2444.8760
Floor_B,2642.8040,105.0000,4044.8760,2642.8040,55.0000,2444.8760,2642.8040,105.0000,2444.8760
Floor_B,2642.8040,105.0000,2444.8760,2642.8040,55.0000,2444.8760,1042.8040,55.0000,2444.8760
Floor_B,2642.8040,105.0000,2444.8760,1042.8040,55.0000,2444.8760,1042.8040,105.0000,2444.8760
Floor_B,1042.8040,105.0000,2444.8760,1042.8040,55.0000,2444.8760,1042.8040,55.0000,4044.8760
Floor_B,1042.8040,105.0000,2444.8760,1042.8040,55.0000,4044.8760,1042.8040,105.0000,4044.8760
Floor_B,1042.8040,105.0000,4044.8760,1042.8040,55.0000,4044.8760,2642.8040,55.0000,4044.8760
Floor_B,1042.8040,105.0000,4044.8760,2642.8040,55.0000,4044.8760,2642.8040,105.0000,4044.8760
Floor_B,2642.8040,55.0000,4044.8760,1042.8040,55.0000,4044.8760,1042.8040,55.0000,2444.8760
Floor_B,2642.8040,55.0000,4044.8760,1042.8040,55.0000,2444.8760,2642.8040,55.0000,2444.8760
Floor_B,1042.8040,105.0000,4044.8760,2642.8040,105.0000,4044.8760,2642.8040,105.0000,2444.8760
Floor_B,1042.8040,105.0000,4044.8760,2642.8040,105.0000,2444.8760,1042.8040,105.0000,2444.8760
Floor_B,2642.8040,105.0000,5626.8740,2642.8040,55.0000,5626.8740,2642.8040,55.0000,4026.8740
Floor_B,2642.8040,105.0000,5626.8740,2642.8040,55.0000,4026.8740,2642.8040,105.0000,4026.8740
Floor_B,2642.8040,105.0000,4026.8740,2642.8040,55.0000,4026.8740,1042.8040,55.0000,4026.8740
Floor_B,2642.8040,105.0000,4026.8740,1042.8040,55.0000,4026.8740,1042.8040,105.0000,4026.8740
Floor_B,1042.8040,105.0000,4026.8740,1042.8040,55.0000,4026.8740,1042.8040,55.0000,5626.8740
Floor_B,1042.8040,105.0000,4026.8740,1042.8040,55.0000,5626.8740,1042.8040,105.0000,5626.8740
Floor_B,1042.8040,105.0000,5626.8740,1042.8040,55.0000,5626.8740,2642.8040,55.0000,5626.8740
Floor_B,1042.8040,105.0000,5626.8740,2642.8040,55.0000,5626.8740,2642.8040,105.0000,5626.8740
Floor_B,2642.8040,55.0000,5626.8740,1042.8040,55.0000,5626.8740,1042.8040,55.0000,4026.8740
Floor_B,2642.8040,55.0000,5626.8740,1042.8040,55.0000,4026.8740,2642.8040,55.0000,4026.8740
Floor_B,1042.8040,105.0000,5626.8740,2642.8040,105.0000,5626.8740,2642.8040,105.0000,4026.8740
Floor_B,1042.8040,105.0000,5626.8740,2642.8040,105.0000,4026.8740,1042.8040,105.0000,4026.8740
Floor_B,1060.0160,105.0000,5626.8740,1060.0160,55.0000,5626.8740,1060.0160,55.0000,4026.8740
Floor_B,1060.0160,105.0000,5626.8740,1060.0160,55.0000,4026.8740,1060.0160,105.0000,4026.8740
Floor_B,1060.0160,105.0000,4026.8740,1060.0160,55.0000,4026.8740,-539.9841,55.0000,4026.8740
Floor_B,1060.0160,105.0000,4026.8740,-539.9841,55.0000,4026.8740,-539.9841,105.0000,4026.8740
Floor_B,-539.9841,105.0000,4026.8740,-539.9841,55.0000,4026.8740,-539.9841,55.0000,5626.8740
Floor_B,-539.9841,105.0000,4026.8740,-539.9841,55.0000,5626.8740,-539.9841,105.0000,5626.8740
Floor_B,-539.9841,105.0000,5626.8740,-539.9841,55.0000,5626.8740,1060.0160,55.0000,5626.8740
Floor_B,-539.9841,105.0000,5626.8740,1060.0160,55.0000,5626.8740,1060.0160,105.0000,5626.8740
Floor_B,1060.0160,55.0000,5626.8740,-539.9841,55.0000,5626.8740,-539.9841,55.0000,4026.8740
Floor_B,1060.0160,55.0000,5626.8740,-539.9841,55.0000,4026.8740,1060.0160,55.0000,4026.8740
Floor_B,-539.9841,105.0000,5626.8740,1060.0160,105.0000,5626.8740,1060.0160,105.0000,4026.8740
Floor_B,-539.9841,105.0000,5626.8740,1060.0160,105.0000,4026.8740,-539.9841,105.0000,4026.8740
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,-272.5682,-73.1801,109.9999,-297.5682,-73.1801,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,-272.5682,-473.1797,109.9999,-297.5682,-73.1801,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-967.6341,109.9999,-92.0226,-473.1797,109.9999,-297.5682,-473.1797,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-967.6341,109.9999,-92.0226,-985.3121,109.9999,-109.7003,-473.1797,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,302.4319,-473.1797,109.9999,277.4318,-73.1801,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,302.4319,-73.1801,109.9999,277.4318,-73.1801,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,277.4318,-473.1797,109.9999,-272.5682,-73.1801,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,109.9999,277.4318,-73.1801,109.9999,-272.5682,-73.1801,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-561.0477,109.9999,314.5638,-578.7257,109.9999,296.8862,-473.1797,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-561.0477,109.9999,314.5638,-473.1797,109.9999,277.4318,-473.1797,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-578.7257,109.9999,296.8862,-967.6341,109.9999,-92.0226,-473.1797,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-578.7257,109.9999,296.8862,-473.1797,109.9999,-272.5682,-473.1797,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-639.6009,510.0001,392.2746,-1189.6010,510.0001,392.2747,-1189.6010,109.9999,392.2747
Block_Platform_Corner_1B(Mirrored),-639.6009,510.0001,392.2746,-1189.6010,109.9999,392.2747,-639.6009,109.9999,392.2747
Block_Platform_Corner_1B(Mirrored),-967.6341,510.0001,-92.0226,-985.3121,510.0001,-109.7003,-985.3121,109.9999,-109.7003
Block_Platform_Corner_1B(Mirrored),-967.6341,510.0001,-92.0226,-985.3121,109.9999,-109.7003,-967.6341,109.9999,-92.0226
Block_Platform_Corner_1B(Mirrored),-1189.6010,109.9999,392.2747,-1214.6010,109.9999,392.2747,-985.3121,109.9999,-109.7003
Block_Platform_Corner_1B(Mirrored),-1189.6010,109.9999,392.2747,-985.3121,109.9999,-109.7003,-967.6341,109.9999,-92.0226
Block_Platform_Corner_1B(Mirrored),-614.6009,109.9999,392.2747,-639.6009,109.9999,392.2747,-578.7257,109.9999,296.8862
Block_Platform_Corner_1B(Mirrored),-614.6009,109.9999,392.2747,-578.7257,109.9999,296.8862,-561.0477,109.9999,314.5638
Block_Platform_Corner_1B(Mirrored),-639.6009,109.9999,392.2747,-1189.6010,109.9999,392.2747,-967.6341,109.9999,-92.0226
Block_Platform_Corner_1B(Mirrored),-639.6009,109.9999,392.2747,-967.6341,109.9999,-92.0226,-578.7257,109.9999,296.8862
Block_Platform_Corner_1B(Mirrored),-639.6009,510.0001,792.2748,-1189.6010,510.0001,792.2747,-1189.6010,110.0002,792.2747
Block_Platform_Corner_1B(Mirrored),-639.6009,510.0001,792.2748,-1189.6010,110.0002,792.2747,-639.6009,110.0002,792.2748
Block_Platform_Corner_1B(Mirrored),-614.6009,510.0001,392.2746,-639.6009,510.0001,392.2746,-639.6009,109.9999,392.2747
Block_Platform_Corner_1B(Mirrored),-614.6009,510.0001,392.2746,-639.6009,109.9999,392.2747,-614.6009,109.9999,392.2747
Block_Platform_Corner_1B(Mirrored),-639.6009,109.9999,392.2747,-614.6009,109.9999,392.2747,-614.6009,110.0002,792.2748
Block_Platform_Corner_1B(Mirrored),-639.6009,109.9999,392.2747,-614.6009,110.0002,792.2748,-639.6009,110.0002,792.2748
Block_Platform_Corner_1B(Mirrored),-1214.6010,109.9999,392.2747,-1189.6010,109.9999,392.2747,-1189.6010,110.0002,792.2747
Block_Platform_Corner_1B(Mirrored),-1214.6010,109.9999,392.2747,-1189.6010,110.0002,792.2747,-1214.6010,110.0002,792.2747
Block_Platform_Corner_1B(Mirrored),-1189.6010,109.9999,392.2747,-639.6009,109.9999,392.2747,-639.6009,110.0002,792.2748
Block_Platform_Corner_1B(Mirrored),-1189.6010,109.9999,392.2747,-639.6009,110.0002,792.2748,-1189.6010,110.0002,792.2747
Block_Platform_Corner_1B(Mirrored),-1189.6010,510.0001,792.2747,-639.6009,510.0001,792.2748,-639.6009,510.0001,392.2746
Block_Platform_Corner_1B(Mirrored),-1189.6010,510.0001,792.2747,-639.6009,510.0001,392.2746,-1189.6010,510.0001,392.2747
Block_Platform_Corner_1B(Mirrored),-473.1797,509.9998,-297.5682,-73.1801,509.9998,-297.5682,-73.1801,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,509.9998,-297.5682,-73.1801,109.9999,-297.5682,-473.1797,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,277.4318,-73.1801,510.0001,302.4318,-73.1801,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,277.4318,-73.1801,109.9999,302.4319,-73.1801,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,302.4318,-561.0477,510.0001,314.5638,-561.0477,109.9999,314.5638
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,302.4318,-561.0477,109.9999,314.5638,-473.1797,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-561.0477,510.0001,314.5638,-578.7257,510.0001,296.8860,-578.7257,109.9999,296.8862
Block_Platform_Corner_1B(Mirrored),-561.0477,510.0001,314.5638,-578.7257,109.9999,296.8862,-561.0477,109.9999,314.5638
Block_Platform_Corner_1B(Mirrored),-578.7257,510.0001,296.8860,-967.6341,510.0001,-92.0226,-967.6341,109.9999,-92.0226
Block_Platform_Corner_1B(Mirrored),-578.7257,510.0001,296.8860,-967.6341,109.9999,-92.0226,-578.7257,109.9999,296.8862
Block_Platform_Corner_1B(Mirrored),-73.1801,509.9998,-297.5682,-73.1801,510.0001,-272.5682,-73.1801,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-73.1801,509.9998,-297.5682,-73.1801,109.9999,-272.5682,-73.1801,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,-272.5682,-73.1801,510.0001,277.4318,-73.1801,109.9999,277.4318
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,-272.5682,-73.1801,109.9999,277.4318,-73.1801,109.9999,-272.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,277.4318,-473.1797,510.0001,-272.5682,-967.6341,510.0001,-92.0226
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,277.4318,-967.6341,510.0001,-92.0226,-578.7257,510.0001,296.8860
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,-272.5682,-985.3121,510.0001,-109.7003,-967.6341,510.0001,-92.0226
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,-272.5682,-473.1797,509.9998,-297.5682,-985.3121,510.0001,-109.7003
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,-272.5682,-473.1797,509.9998,-297.5682,-473.1797,510.0001,-272.5682
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,-272.5682,-73.1801,509.9998,-297.5682,-473.1797,509.9998,-297.5682
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,302.4318,-473.1797,510.0001,277.4318,-578.7257,510.0001,296.8860
Block_Platform_Corner_1B(Mirrored),-473.1797,510.0001,302.4318,-578.7257,510.0001,296.8860,-561.0477,510.0001,314.5638
Block_Platform_Corner_1B(Mirrored),-985.3121,510.0001,-109.7003,-473.1797,509.9998,-297.5682,-473.1797,109.9999,-297.5682
Block_Platform_Corner_1B(Mirrored),-985.3121,510.0001,-109.7003,-473.1797,109.9999,-297.5682,-985.3121,109.9999,-109.7003
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,302.4318,-473.1797,510.0001,302.4318,-473.1797,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,302.4318,-473.1797,109.9999,302.4319,-73.1801,109.9999,302.4319
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,277.4318,-73.1801,510.0001,-272.5682,-473.1797,510.0001,-272.5682
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,277.4318,-473.1797,510.0001,-272.5682,-473.1797,510.0001,277.4318
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,302.4318,-73.1801,510.0001,277.4318,-473.1797,510.0001,277.4318
Block_Platform_Corner_1B(Mirrored),-73.1801,510.0001,302.4318,-473.1797,510.0001,277.4318,-473.1797,510.0001,302.4318
Block_Platform_Corner_1B(Mirrored),-1189.6010,510.0001,392.2747,-1214.6010,510.0001,392.2747,-1214.6010,109.9999,392.2747
